city,population
"Sinclair, WY",395
"Sundance, WY",1292
"Superior, WY",312
"Thayne, WY",394
"Thermopolis, WY",2764
"Upton, WY",1056
"Wamsutter, WY",467
"Wheatland, WY",3462
"Wright, WY",1753
"Yoder, WY",154
"Arden, DE",440
"Ardencroft, DE",216
"Ardentown, DE",270
"Estero, FL",33871
"Golf, FL",269
"Indiantown, FL",7174
"Pinecrest, FL",19155
"Tequesta, FL",6138
"Wellington, FL",65398
"Addieville, IL",238
"Addison, IL",36482
"Adeline, IL",80
"Albany, IL",863
"Albers, IL",1135
"Alexis, IL",777
"Algonquin, IL",30897
"Alhambra, IL",650
"Allendale, IL",477
"Allenville, IL",141
"Allerton, IL",266
"Alma, IL",303
"Alorton, IL",1901
"Alpha, IL",635
"Alsey, IL",210
"Alsip, IL",18709
"Altona, IL",497
"Alvan, IL",249
"Anchor, IL",140
"Andalusia, IL",1148
"Andover, IL",572
"Antioch, IL",14175
"Arenzville, IL",367
"Argenta, IL",877
"Arlington, IL",181
"Armington, IL",323
"Arrowsmith, IL",276
"Arthur, IL",2200
"Ashkum, IL",693
"Ashland, IL",1191
"Ashmore, IL",749
"Ashton, IL",891
"Atwood, IL",1158
"Augusta, IL",543
"Aviston, IL",2136
"Avon, IL",714
"Baldwin, IL",340
"Banner, IL",182
"Bannockburn, IL",1506
"Bardolph, IL",232
"Barrington, IL",10217
"Bartelso, IL",610
"Bartlett, IL",40647
"Bartonville, IL",6113
"Basco, IL",89
"Batchtown, IL",198
"Bath, IL",308
"Baylis, IL",196
"Beaverville, IL",326
"Beckemeyer, IL",1008
"Beecher, IL",4427
"Belgium, IL",367
"Belknap, IL",106
"Bellevue, IL",2049
"Bellflower, IL",344
"Bellmont, IL",267
"Bellwood, IL",18672
"Bement, IL",1667
"Bensenville, IL",18044
"Benson, IL",409
"Berkeley, IL",5048
"Berlin, IL",174
"Bethalto, IL",9210
"Bethany, IL",1239
"Biggsville, IL",278
"Bingham, IL",80
"Bismarck, IL",530
"Blandinsville, IL",595
"Bloomingdale, IL",21779
"Bluffs, IL",659
"Bluford, IL",669
"Bolingbrook, IL",74545
"Bondville, IL",431
"Bonfield, IL",356
"Bonnie, IL",381
"Bourbonnais, IL",19462
"Bowen, IL",457
"Braceville, IL",759
"Bradford, IL",682
"Bradley, IL",15314
"Bridgeview, IL",16096
"Brighton, IL",2131
"Brimfield, IL",828
"Broadlands, IL",337
"Broadview, IL",7618
"Broadwell, IL",136
"Brocton, IL",293
"Brookfield, IL",18310
"Brooklyn, IL",698
"Broughton, IL",186
"Browning, IL",123
"Browns, IL",129
"Brownstown, IL",727
"Brussels, IL",131
"Bryant, IL",213
"Buckingham, IL",278
"Buckley, IL",542
"Buckner, IL",440
"Buda, IL",501
"Buffalo, IL",480
"Bulpitt, IL",201
"Buncombe, IL",203
"Burlington, IL",620
"Burnham, IL",4088
"Bush, IL",267
"Butler, IL",165
"Cabery, IL",246
"Cahokia, IL",13880
"Caledonia, IL",193
"Calhoun, IL",166
"Camargo, IL",447
"Cambria, IL",1463
"Cambridge, IL",2078
"Camden, IL",78
"Campus, IL",157
"Cantrall, IL",133
"Capron, IL",1362
"Carlock, IL",557
"Carpentersville, IL",37254
"Cary, IL",18067
"Caseyville, IL",4110
"Catlin, IL",1926
"Cave-In-Rock, IL",280
"Cedarville, IL",689
"Chadwick, IL",516
"Chandlerville, IL",494
"Channahon, IL",13239
"Chapin, IL",478
"Chatham, IL",13008
"Chebanse, IL",971
"Cherry, IL",453
"Chesterfield, IL",177
"Cisco, IL",242
"Cisne, IL",660
"Claremont, IL",170
"Clayton, IL",673
"Cleveland, IL",182
"Clifton, IL",1321
"Coalton, IL",286
"Coatsburg, IL",142
"Cobden, IL",1064
"Coleta, IL",152
"Colfax, IL",1013
"Colp, IL",210
"Columbus, IL",96
"Compton, IL",283
"Concord, IL",154
"Congerville, IL",492
"Cooksville, IL",179
"Cordova, IL",645
"Cornell, IL",455
"Coulterville, IL",895
"Cowden, IL",579
"Crainville, IL",1400
"Creston, IL",647
"Crestwood, IL",10706
"Crete, IL",8023
"Crossville, IL",689
"Cullom, IL",522
"Curran, IL",207
"Cutler, IL",413
"Cypress, IL",235
"Dahlgren, IL",502
"Dakota, IL",468
"Dalzell, IL",659
"Damiansville, IL",489
"Dana, IL",150
"Danforth, IL",552
"Danvers, IL",1100
"Davis, IL",627
"Dawson, IL",482
"Deerfield, IL",18646
"Detroit, IL",81
"Diamond, IL",2506
"Dieterich, IL",595
"Divernon, IL",1105
"Dix, IL",440
"Dixmoor, IL",3563
"Dolton, IL",22348
"Dongola, IL",678
"Donnellson, IL",195
"Donovan, IL",274
"Dorchester, IL",138
"Dover, IL",153
"Dowell, IL",386
"Downs, IL",951
"Dunfermline, IL",283
"Dunlap, IL",1448
"Dupo, IL",3877
"Durand, IL",1394
"Dwight, IL",3984
"Eagarville, IL",120
"Easton, IL",287
"Eddyville, IL",98
"Edgewood, IL",430
"Edinburg, IL",1012
"Elburn, IL",5997
"Eldred, IL",186
"Elizabeth, IL",722
"Elizabethtown, IL",273
"Elkhart, IL",390
"Elkville, IL",863
"Elliott, IL",269
"Ellisville, IL",92
"Ellsworth, IL",198
"Elsah, IL",606
"Elvaston, IL",154
"Elwood, IL",2226
"Emden, IL",460
"Emington, IL",108
"Energy, IL",1109
"Enfield, IL",552
"Equality, IL",518
"Erie, IL",1499
"Essex, IL",758
"Evansville, IL",647
"Ewing, IL",296
"Exeter, IL",60
"Fairmount, IL",596
"Fairview, IL",471
"Farina, IL",499
"Farmersville, IL",671
"Fayetteville, IL",339
"Ferris, IL",143
"Fidelity, IL",112
"Fieldon, IL",218
"Fillmore, IL",310
"Findlay, IL",638
"Fisher, IL",1937
"Fithian, IL",449
"Flanagan, IL",1064
"Florence, IL",37
"Flossmoor, IL",9155
"Foosland, IL",98
"Forrest, IL",1135
"Forreston, IL",1341
"Forsyth, IL",3479
"Frankfort, IL",19373
"Franklin, IL",598
"Freeburg, IL",4242
"Fults, IL",28
"Galatia, IL",880
"Gardner, IL",1381
"Garrett, IL",158
"Gays, IL",254
"Germantown, IL",1274
"Gifford, IL",1048
"Gilberts, IL",8076
"Gladstone, IL",264
"Glasford, IL",957
"Glasgow, IL",132
"Glencoe, IL",8826
"Glenview, IL",47308
"Glenwood, IL",8715
"Godfrey, IL",17400
"Godley, IL",756
"Golden, IL",617
"Golf, IL",493
"Goodfield, IL",986
"Goreville, IL",1060
"Gorham, IL",219
"Grandview, IL",1383
"Grantfork, IL",343
"Granville, IL",1308
"Grayslake, IL",20725
"Greenup, IL",1490
"Greenview, IL",724
"Greenwood, IL",226
"Gridley, IL",1398
"Gurnee, IL",30378
"Hainesville, IL",3557
"Hamburg, IL",119
"Hamel, IL",810
"Hammond, IL",479
"Hampshire, IL",6251
"Hampton, IL",1742
"Hanaford, IL",322
"Hanover, IL",768
"Hardin, IL",900
"Harmon, IL",111
"Harristown, IL",1292
"Hartford, IL",1341
"Hartsburg, IL",307
"Harvel, IL",211
"Hebron, IL",1183
"Hecker, IL",478
"Henderson, IL",244
"Hennepin, IL",705
"Henning, IL",234
"Herrick, IL",431
"Herscher, IL",1504
"Hettick, IL",171
"Heyworth, IL",2867
"Hidalgo, IL",105
"Hillcrest, IL",1225
"Hillsdale, IL",505
"Hillside, IL",7933
"Hillview, IL",177
"Hinckley, IL",2050
"Hindsboro, IL",296
"Hinsdale, IL",17637
"Hodgkins, IL",1971
"Hoffman, IL",483
"Hollowayville, IL",86
"Homer, IL",1159
"Homewood, IL",18703
"Hooppole, IL",191
"Hopedale, IL",825
"Hopewell, IL",398
"Hoyleton, IL",494
"Hudson, IL",1813
"Huey, IL",163
"Hull, IL",433
"Humboldt, IL",418
"Hume, IL",347
"Huntley, IL",27228
"Hutsonville, IL",522
"Illiopolis, IL",842
"Ina, IL",2279
"Indianola, IL",257
"Industry, IL",438
"Inverness, IL",7376
"Iola, IL",136
"Ipava, IL",421
"Iroquois, IL",137
"Irving, IL",462
"Irvington, IL",613
"Irwin, IL",74
"Itasca, IL",9805
"Iuka, IL",464
"Ivesdale, IL",252
"Jeffersonville, IL",359
"Jeisyville, IL",101
"Jerome, IL",1588
"Jewett, IL",220
"Johnsburg, IL",6368
"Johnsonville, IL",77
"Joppa, IL",303
"Joy, IL",382
"Junction, IL",111
"Justice, IL",12608
"Kampsville, IL",304
"Kane, IL",404
"Kaneville, IL",480
"Kangley, IL",233
"Kansas, IL",719
"Kappa, IL",240
"Karnak, IL",434
"Kaskaskia, IL",13
"Keenes, IL",80
"Keensburg, IL",201
"Kell, IL",207
"Kempton, IL",206
"Kenilworth, IL",2475
"Kenney, IL",313
"Keyesport, IL",405
"Kilbourne, IL",276
"Kildeer, IL",4012
"Kincaid, IL",1372
"Kinderhook, IL",208
"Kingston, IL",1169
"Kinsman, IL",97
"Kirkland, IL",1729
"Kirkwood, IL",675
"Ladd, IL",1195
"Lakemoor, IL",5967
"Lakewood, IL",4001
"Lansing, IL",27402
"Latham, IL",364
"Lee, IL",327
"Leland, IL",914
"Lemont, IL",17291
"Lena, IL",2719
"Lenzburg, IL",487
"Leonore, IL",123
"Lerna, IL",273
"Liberty, IL",503
"Libertyville, IL",20205
"Lima, IL",148
"Limestone, IL",1522
"Lincolnshire, IL",7893
"Lincolnwood, IL",12245
"Lindenhurst, IL",14216
"Lisbon, IL",308
"Lisle, IL",23270
"Littleton, IL",160
"Liverpool, IL",123
"Livingston, IL",804
"Loami, IL",750
"Loda, IL",398
"Lomax, IL",401
"Lombard, IL",44303
"Longview, IL",148
"Loraine, IL",302
"Lostant, IL",480
"Louisville, IL",1095
"Lovington, IL",1026
"Ludlow, IL",356
"Lyndon, IL",610
"Lynnville, IL",111
"Lynwood, IL",9194
"Lyons, IL",10372
"McClure, IL",301
"McCook, IL",220
"Macedonia, IL",63
"Mackinaw, IL",1884
"McLean, IL",795
"McNabb, IL",260
"Maeystown, IL",162
"Magnolia, IL",248
"Mahomet, IL",8605
"Makanda, IL",530
"Malden, IL",341
"Malta, IL",1158
"Manchester, IL",269
"Manhattan, IL",8240
"Manito, IL",1486
"Manlius, IL",334
"Mansfield, IL",948
"Manteno, IL",9002
"Mapleton, IL",269
"Maquon, IL",260
"Marietta, IL",109
"Marine, IL",922
"Marissa, IL",1806
"Mark, IL",539
"Martinton, IL",343
"Maryville, IL",7952
"Matherville, IL",662
"Matteson, IL",19448
"Maunie, IL",130
"Maywood, IL",23158
"Mazon, IL",967
"Mechanicsburg, IL",661
"Media, IL",94
"Medora, IL",392
"Melvin, IL",410
"Mendon, IL",961
"Menominee, IL",240
"Meredosia, IL",972
"Metamora, IL",3699
"Metcalf, IL",171
"Mettawa, IL",543
"Middletown, IL",304
"Midlothian, IL",14346
"Milan, IL",4991
"Milford, IL",1171
"Millbrook, IL",328
"Milledgeville, IL",952
"Millington, IL",659
"Millstadt, IL",3857
"Milton, IL",266
"Mineral, IL",222
"Minier, IL",1190
"Minooka, IL",11397
"Modesto, IL",178
"Mokena, IL",20159
"Monee, IL",5061
"Montgomery, IL",19638
"Montrose, IL",195
"Morrisonville, IL",998
"Morton, IL",16277
"Moweaqua, IL",1714
"Muddy, IL",63
"Muncie, IL",138
"Mundelein, IL",31051
"Murrayville, IL",548
"Naplate, IL",470
"Nebo, IL",328
"Nelson, IL",159
"Neponset, IL",436
"Newark, IL",1028
"Niantic, IL",655
"Niles, IL",28938
"Noble, IL",641
"Nora, IL",116
"Norridge, IL",14152
"Norris, IL",200
"Northbrook, IL",32958
"Northfield, IL",5386
"Norwood, IL",459
"Oakdale, IL",200
"Oakford, IL",276
"Oakwood, IL",1485
"Oblong, IL",1371
"Oconee, IL",172
"Odell, IL",964
"Odin, IL",1009
"Ogden, IL",800
"Ohio, IL",480
"Ohlman, IL",126
"Okawville, IL",1360
"Olmsted, IL",294
"Omaha, IL",228
"Onarga, IL",1264
"Oquawka, IL",1252
"Orangeville, IL",752
"Oreana, IL",811
"Orion, IL",1798
"Oswego, IL",36252
"Owaneco, IL",223
"Palatine, IL",67482
"Palestine, IL",1273
"Palmer, IL",205
"Palmyra, IL",659
"Panama, IL",319
"Panola, IL",52
"Papineau, IL",149
"Parkersburg, IL",200
"Patoka, IL",547
"Pawnee, IL",2640
"Payson, IL",990
"Pearl, IL",132
"Pecatonica, IL",2078
"Peotone, IL",4105
"Percy, IL",919
"Perry, IL",382
"Pesotum, IL",524
"Phillipstown, IL",41
"Philo, IL",1400
"Phoenix, IL",1908
"Pierron, IL",544
"Pittsburg, IL",551
"Plainfield, IL",44308
"Plainville, IL",255
"Plattville, IL",256
"Plymouth, IL",466
"Pocahontas, IL",731
"Pontoosuc, IL",136
"Posen, IL",5865
"Potomac, IL",690
"Princeville, IL",1672
"Pulaski, IL",175
"Radom, IL",211
"Raleigh, IL",329
"Ramsey, IL",1011
"Rankin, IL",513
"Ransom, IL",356
"Rantoul, IL",12493
"Raritan, IL",122
"Raymond, IL",942
"Reddick, IL",157
"Redmon, IL",158
"Reynolds, IL",507
"Richmond, IL",1904
"Richview, IL",243
"Ridgway, IL",747
"Ridott, IL",151
"Ringwood, IL",813
"Rio, IL",207
"Ripley, IL",82
"Riverdale, IL",13077
"Riverside, IL",8563
"Riverton, IL",3434
"Riverwoods, IL",3562
"Roanoke, IL",1990
"Robbins, IL",5438
"Roberts, IL",329
"Rochester, IL",3709
"Rockbridge, IL",157
"Rockdale, IL",1910
"Rockton, IL",7441
"Rockwood, IL",41
"Romeoville, IL",39746
"Roscoe, IL",10510
"Roselle, IL",22463
"Rosemont, IL",4066
"Roseville, IL",898
"Rossville, IL",1217
"Roxana, IL",1434
"Royal, IL",277
"Royalton, IL",1117
"Ruma, IL",304
"Russellville, IL",86
"Rutland, IL",304
"Sadorus, IL",390
"Sandoval, IL",1214
"Sauget, IL",168
"Saunemin, IL",404
"Savoy, IL",8401
"Sawyerville, IL",266
"Saybrook, IL",668
"Schaumburg, IL",72887
"Sciota, IL",56
"Scottville, IL",110
"Seaton, IL",202
"Seatonville, IL",296
"Secor, IL",355
"Seneca, IL",2251
"Shabbona, IL",920
"Shannon, IL",688
"Sheffield, IL",863
"Sheldon, IL",949
"Sheridan, IL",2520
"Sherman, IL",4679
"Sherrard, IL",594
"Shiloh, IL",13586
"Shorewood, IL",17509
"Shumway, IL",195
"Sibley, IL",252
"Sidell, IL",563
"Sidney, IL",1191
"Simpson, IL",60
"Sims, IL",240
"Skokie, IL",62700
"Smithboro, IL",165
"Smithfield, IL",221
"Smithton, IL",3816
"Somonauk, IL",1871
"Sorento, IL",469
"Sparland, IL",367
"Spaulding, IL",849
"Spillertown, IL",196
"Springerton, IL",102
"Standard, IL",203
"Stanford, IL",598
"Steeleville, IL",1925
"Steger, IL",9221
"Steward, IL",241
"Stewardson, IL",721
"Stickney, IL",6566
"Stockton, IL",1712
"Stonefort, IL",285
"Stonington, IL",846
"Stoy, IL",115
"Strasburg, IL",439
"Strawn, IL",93
"Streamwood, IL",39228
"Stronghurst, IL",789
"Sublette, IL",421
"Summerfield, IL",395
"Summit, IL",11116
"Swansea, IL",13350
"Symerton, IL",91
"Tallula, IL",474
"Tamaroa, IL",597
"Tamms, IL",472
"Tampico, IL",729
"Tennessee, IL",108
"Teutopolis, IL",1642
"Thawville, IL",244
"Thayer, IL",655
"Thebes, IL",321
"Thomasboro, IL",1084
"Thompsonville, IL",526
"Thomson, IL",551
"Thornton, IL",2401
"Tilden, IL",881
"Tilton, IL",2686
"Timberlane, IL",946
"Time, IL",22
"Tiskilwa, IL",766
"Toledo, IL",1190
"Tolono, IL",3392
"Tonica, IL",715
"Topeka, IL",70
"Tovey, IL",476
"Towanda, IL",462
"Tremont, IL",2120
"Ullin, IL",400
"Union, IL",553
"Ursa, IL",605
"Valier, IL",637
"Valmeyer, IL",1248
"Varna, IL",347
"Venedy, IL",133
"Vergennes, IL",281
"Vermilion, IL",202
"Vermont, IL",640
"Vernon, IL",118
"Verona, IL",206
"Versailles, IL",458
"Victoria, IL",289
"Viola, IL",888
"Virgil, IL",327
"Volo, IL",5813
"Wadsworth, IL",3651
"Waggoner, IL",253
"Walnut, IL",1306
"Walshville, IL",62
"Waltonville, IL",432
"Wapella, IL",522
"Warren, IL",1304
"Warrensburg, IL",1126
"Washburn, IL",1082
"Wataga, IL",786
"Waterman, IL",1500
"Watson, IL",732
"Wauconda, IL",13504
"Wayne, IL",2429
"Waynesville, IL",410
"Weldon, IL",412
"Wellington, IL",216
"Wenonah, IL",35
"Westchester, IL",16117
"Westfield, IL",558
"Westmont, IL",24443
"Westville, IL",2945
"Wheeler, IL",146
"Wheeling, IL",38646
"Williamsfield, IL",545
"Williamson, IL",215
"Williamsville, IL",1485
"Willisville, IL",587
"Willowbrook, IL",8579
"Wilmette, IL",27089
"Wilmington, IL",132
"Wilsonville, IL",553
"Windsor, IL",772
"Winfield, IL",9636
"Winnebago, IL",2991
"Winnetka, IL",12316
"Winslow, IL",312
"Woodhull, IL",783
"Woodland, IL",297
"Woodlawn, IL",682
"Woodridge, IL",33432
"Woodson, IL",485
"Worden, IL",1041
"Worth, IL",10466
"Wyanet, IL",923
"Xenia, IL",368
"Yale, IL",85
"Anacoco, LA",783
"Angie, LA",249
"Ashland, LA",263
"Athens, LA",269
"Atlanta, LA",146
"Baskin, LA",244
"Belcher, LA",248
"Bienville, LA",198
"Bonita, LA",246
"Bryceland, LA",99
"Calvin, LA",219
"Cankton, LA",505
"Castor, LA",242
"Chataignier, LA",360
"Choudrant, LA",981
"Clarence, LA",484
"Clarks, LA",1000
"Collinston, LA",251
"Converse, LA",433
"Creola, LA",227
"Delta, LA",252
"Dodson, LA",300
"Downsville, LA",130
"Doyline, LA",782
"Dubberly, LA",257
"Edgefield, LA",192
"Epps, LA",813
"Estherwood, LA",1074
"Fenton, LA",359
"Fisher, LA",219
"Florien, LA",599
"Folsom, LA",862
"Forest, LA",337
"Georgetown, LA",320
"Gilbert, LA",553
"Gilliam, LA",152
"Goldonna, LA",423
"Grayson, LA",513
"Harrisonburg, LA",317
"Heflin, LA",221
"Hessmer, LA",750
"Hodge, LA",436
"Hosston, LA",299
"Ida, LA",208
"Jamestown, LA",126
"Kilbourne, LA",383
"Lillie, LA",120
"Lisbon, LA",167
"Longstreet, LA",162
"Loreauville, LA",840
"Lucky, LA",256
"McNary, LA",210
"Martin, LA",554
"Maurice, LA",1609
"Mermentau, LA",629
"Montpelier, LA",241
"Moreauville, LA",857
"Morganza, LA",575
"Morse, LA",802
"Mound, LA",16
"Napoleonville, LA",590
"Natchez, LA",601
"Noble, LA",244
"Norwood, LA",291
"Palmetto, LA",160
"Parks, LA",699
"Pioneer, LA",147
"Plaucheville, LA",229
"Powhatan, LA",128
"Provencal, LA",607
"Quitman, LA",174
"Reeves, LA",244
"Richmond, LA",544
"Robeline, LA",166
"Rodessa, LA",261
"Rosedale, LA",743
"Saline, LA",277
"Shongaloo, LA",168
"Sikes, LA",121
"Simpson, LA",586
"Simsboro, LA",835
"Spearsville, LA",127
"Stanley, LA",110
"Sun, LA",489
"Tangipahoa, LA",853
"Tickfaw, LA",764
"Varnado, LA",335
"Wilson, LA",567
"Rosemont, MD",322
"Addison, MI",583
"Ahmeek, MI",144
"Akron, MI",375
"Alanson, MI",764
"Allen, MI",190
"Almont, MI",2795
"Alpha, MI",134
"Applegate, MI",232
"Armada, MI",1715
"Ashley, MI",545
"Athens, MI",996
"Augusta, MI",899
"Baldwin, MI",1079
"Bancroft, MI",497
"Baraga, MI",1946
"Baroda, MI",882
"Barryton, MI",353
"Bellaire, MI",1066
"Bellevue, MI",1303
"Benzonia, MI",506
"Beulah, MI",345
"Blissfield, MI",3266
"Bloomingdale, MI",439
"Breckenridge, MI",1273
"Breedsville, MI",191
"Britton, MI",563
"Brooklyn, MI",1176
"Buckley, MI",718
"Burlington, MI",278
"Byron, MI",549
"Caledonia, MI",1636
"Calumet, MI",687
"Camden, MI",501
"Capac, MI",1837
"Carleton, MI",2354
"Carney, MI",182
"Carsonville, MI",495
"Casnovia, MI",321
"Cassopolis, MI",1699
"Centreville, MI",1406
"Chatham, MI",205
"Chesaning, MI",2238
"Clarksville, MI",396
"Clayton, MI",330
"Clifford, MI",319
"Climax, MI",783
"Clinton, MI",2290
"Colon, MI",1158
"Columbiaville, MI",763
"Concord, MI",1040
"Constantine, MI",2111
"Copemish, MI",193
"Custer, MI",285
"Daggett, MI",244
"Dansville, MI",569
"Decatur, MI",1732
"Deckerville, MI",781
"Deerfield, MI",857
"Dimondale, MI",1257
"Dryden, MI",938
"Dundee, MI",4601
"Eagle, MI",120
"Eastlake, MI",507
"Edmore, MI",1192
"Edwardsburg, MI",1238
"Elberta, MI",371
"Elkton, MI",749
"Ellsworth, MI",347
"Elsie, MI",978
"Emmett, MI",260
"Empire, MI",376
"Fairgrove, MI",525
"Farwell, MI",871
"Forestville, MI",127
"Fountain, MI",198
"Fowler, MI",1222
"Fowlerville, MI",2893
"Franklin, MI",3246
"Freeport, MI",500
"Fruitport, MI",1149
"Gagetown, MI",363
"Gaines, MI",358
"Galien, MI",529
"Garden, MI",211
"Goodrich, MI",1884
"Hanover, MI",427
"Harrietta, MI",146
"Hersey, MI",346
"Hesperia, MI",929
"Hillman, MI",669
"Holly, MI",6149
"Homer, MI",1645
"Honor, MI",331
"Hopkins, MI",607
"Hubbardston, MI",400
"Kaleva, MI",460
"Kalkaska, MI",2094
"Kinde, MI",414
"Kingsley, MI",1625
"Kingston, MI",409
"Lakeview, MI",1002
"L'Anse, MI",1842
"Laurium, MI",1898
"Lawrence, MI",976
"Lawton, MI",1805
"Lennon, MI",482
"Leonard, MI",409
"Lexington, MI",1118
"Lincoln, MI",314
"Luther, MI",324
"Lyons, MI",807
"McBride, MI",205
"Mancelona, MI",1366
"Manchester, MI",2154
"Marcellus, MI",1139
"Marion, MI",856
"Martin, MI",409
"Mattawan, MI",1982
"Maybee, MI",532
"Mayville, MI",885
"Mecosta, MI",454
"Melvin, MI",168
"Mendon, MI",851
"Merrill, MI",723
"Mesick, MI",405
"Metamora, MI",563
"Michiana, MI",181
"Middleville, MI",3475
"Milford, MI",6515
"Millersburg, MI",194
"Millington, MI",997
"Montgomery, MI",331
"Morley, MI",493
"Morrice, MI",910
"Muir, MI",611
"Mulliken, MI",561
"Nashville, MI",1684
"Newberry, MI",1397
"Northport, MI",525
"Oakley, MI",274
"Onekama, MI",404
"Onsted, MI",950
"Ontonagon, MI",1250
"Ortonville, MI",1443
"Otisville, MI",835
"Owendale, MI",224
"Oxford, MI",3556
"Parma, MI",744
"Peck, MI",595
"Pellston, MI",843
"Pentwater, MI",848
"Perrinton, MI",392
"Pewamo, MI",484
"Pierson, MI",175
"Pigeon, MI",1120
"Pinckney, MI",2420
"Posen, MI",218
"Powers, MI",405
"Prescott, MI",254
"Quincy, MI",1617
"Ravenna, MI",1274
"Reese, MI",1364
"Richland, MI",831
"Romeo, MI",3606
"Roscommon, MI",1050
"Rosebush, MI",362
"Rothbury, MI",448
"Sanford, MI",844
"Saranac, MI",1328
"Schoolcraft, MI",1551
"Sebewaing, MI",1631
"Shelby, MI",2012
"Shepherd, MI",1486
"Sheridan, MI",650
"Sherwood, MI",307
"Shoreham, MI",832
"Sparta, MI",4399
"Springport, MI",787
"Stanwood, MI",212
"Sterling, MI",499
"Stevensville, MI",1129
"Stockbridge, MI",1250
"Sunfield, MI",589
"Tekonsha, MI",725
"Thompsonville, MI",453
"Turner, MI",102
"Tustin, MI",217
"Twining, MI",168
"Ubly, MI",785
"Unionville, MI",471
"Vandalia, MI",282
"Vanderbilt, MI",565
"Vermontville, MI",771
"Vernon, MI",772
"Vicksburg, MI",3483
"Waldron, MI",523
"Walkerville, MI",260
"Webberville, MI",1310
"Westphalia, MI",933
"Wolverine, MI",234
"Woodland, MI",446
"Beauregard, MS",324
"Braxton, MS",179
"Eden, MS",121
"Gattman, MS",88
"Glendora, MS",132
"Kossuth, MS",208
"Mantee, MS",214
"Paden, MS",113
"Pittsboro, MS",192
"Pope, MS",248
"Puckett, MS",348
"Satartia, MS",50
"Sylvarena, MS",104
"Taylor, MS",444
"Walthall, MS",138
"Woodland, MS",129
"Agency, MO",660
"Aldrich, MO",81
"Allendale, MO",51
"Allenville, MO",122
"Altamont, MO",201
"Amazonia, MO",321
"Annada, MO",28
"Arcola, MO",53
"Aullville, MO",101
"Bakersfield, MO",227
"Bel-Nor, MO",1397
"Bel-Ridge, MO",2675
"Bethel, MO",112
"Bigelow, MO",24
"Birmingham, MO",205
"Blodgett, MO",204
"Blythedale, MO",185
"Brimson, MO",61
"Cairo, MO",279
"Caledonia, MO",127
"Chain-O-Lakes, MO",128
"Champ, MO",13
"Claycomo, MO",1514
"Clyde, MO",79
"Cobalt, MO",224
"Collins, MO",152
"Commerce, MO",66
"Cosby, MO",125
"Dadeville, MO",224
"Darlington, MO",118
"Deerfield, MO",78
"Denver, MO",36
"Diehlstadt, MO",151
"Diggins, MO",323
"Duquesne, MO",1639
"Elmira, MO",50
"Eolia, MO",509
"Evergreen, MO",28
"Farley, MO",301
"Ferrelview, MO",798
"Flemington, MO",148
"Foster, MO",111
"Freeburg, MO",423
"Freistatt, MO",161
"Gentry, MO",70
"Gibbs, MO",102
"Glenwood, MO",206
"Goodnight, MO",18
"Gordonville, MO",371
"Granger, MO",34
"Halfway, MO",177
"Halltown, MO",171
"Harwood, MO",45
"Hillsdale, MO",1542
"Hoberg, MO",57
"Holliday, MO",132
"Homestead, MO",185
"Hughesville, MO",189
"Humphreys, MO",107
"Iatan, MO",55
"Innsbrook, MO",588
"Irena, MO",17
"Jacksonville, MO",145
"Josephville, MO",476
"Kelso, MO",587
"Kirbyville, MO",228
"Leasburg, MO",325
"Leawood, MO",675
"Leonard, MO",57
"Leslie, MO",170
"Livonia, MO",71
"Louisburg, MO",116
"Lucerne, MO",79
"Luray, MO",93
"Marlborough, MO",2147
"Merwin, MO",57
"Milford, MO",24
"Millard, MO",85
"Milo, MO",87
"Monticello, MO",92
"Mooresville, MO",90
"Newark, MO",90
"Novelty, MO",132
"Oaks, MO",134
"Oakview, MO",390
"Oakwood, MO",198
"Osgood, MO",44
"Parkdale, MO",166
"Parkway, MO",509
"Pascola, MO",93
"Paynesville, MO",75
"Pendleton, MO",46
"Penermon, MO",61
"Phillipsburg, MO",199
"Pierpont, MO",75
"Plato, MO",106
"Pollock, MO",79
"Powersville, MO",54
"Prathersville, MO",134
"Preston, MO",219
"Randolph, MO",55
"Renick, MO",169
"Rensselaer, MO",230
"Ridgely, MO",106
"Riverview, MO",2832
"Roscoe, MO",117
"Rothville, MO",92
"Rushville, MO",280
"Saddlebrooke, MO",244
"Saginaw, MO",302
"Sedgewickville, MO",167
"Sibley, MO",366
"Silex, MO",292
"Stoutsville, MO",40
"Taneyville, MO",362
"Theodosia, MO",267
"Tightwad, MO",60
"Tina, MO",148
"Truxton, MO",103
"Turney, MO",148
"Utica, MO",251
"Vandiver, MO",69
"Vanduser, MO",261
"Vista, MO",46
"Wardsville, MO",1560
"Watson, MO",90
"Wentworth, MO",144
"Westwood, MO",281
"Whiteside, MO",81
"Winston, MO",253
"Wooldridge, MO",58
"Worth, MO",59
"Worthington, MO",82
"Abie, NE",65
"Adams, NE",617
"Alda, NE",662
"Alexandria, NE",171
"Allen, NE",349
"Alvo, NE",137
"Amherst, NE",253
"Anoka, NE",5
"Anselmo, NE",138
"Ansley, NE",425
"Arcadia, NE",305
"Arlington, NE",1315
"Arnold, NE",568
"Arthur, NE",118
"Ashton, NE",185
"Atlanta, NE",132
"Avoca, NE",252
"Axtell, NE",751
"Ayr, NE",122
"Bancroft, NE",466
"Barada, NE",22
"Barneston, NE",111
"Bartlett, NE",114
"Bartley, NE",269
